text,score
still my two favorite everbrandy jsullivanmusic …,1
riley and maya went to france without cory and topanga like riley wanted in game night ,1
wouldn’t wanna be weird with anyone else,-1
seeing my fav og camgirls from the studio tonight ,1
well i m sold,1
"insoo instastory update though it was short mygirls were beautiful and you did well myname members he tagged gunwo…",2
"hi this is new pics account to myname s junq i hope mygirls myboys amp fans support me",2
finally playing nice together after days of arguing ,1
last night was one of the best nights of my life ,1
never really knew how much im gonna miss something until its gone,-1
spending a wonderful night with always love catching up…,2
your domestic circumstances are probably more manageable these more for gemini,1
i need you like a heart needs a beat …,1
i didn t say it yet but i really appreciate all the support from mygirls and myboys about my lyrics blogthank you ,3
your power is not defined with trying to be a man when your the key to all greatness happy women’s history month…,2
lol always wanting it doesn’t even faze them anymore ,-1
"me thank god ioi are over that group was a disaster with not one single good song
chungha …",1
excited to see these two goofballs but first some interviews http …,1
from south to north and vice versa ,-1
happy hour with the crew bottlecap alley…,1
you know your harley is sweet when your girl talks about and tells more people about it than you do …,1
gonna miss seeing these ladies in class,-1
what’s on my work table love …,2
"mmm beach and annoying sand ",-1
"this is new pics account to myname s junq i hope mygirls myboys amp fans support me ",2
good day with my little’s love them so much,2
i love you all,1
great season ladies me amp,1
when you are watching ur neices cuz they had a half day of school and they hungry no problem aunty lex to the rescu…,-1
we live in paradise running to school this morning ,1
"if we get together yo it s gonna be the bomb 
hit me up baby aaron carter dot com …",-1
after a treck out in that awful weather to get some bits needed we are being as lazy as possible and keeping warm i…,-1
"i wanted to be there t t lovely i can feel all their love to our boys 
thank you to instagram nessiesenpai…",3
it’s and i want to know what you’re thankful for,1
if only everyday could be this chill ,-1
this is the only photo i feel like is indicated to post in it s my first time participating ahah so ma…,1
i love getting texts from one of amp hearing how great they are doing with life for them to think to text m…,2
gunwoo twitter update i’m so happy today thank you all of you mygirls let’s meet more i love you thank you every…,4
"ahhhhhh they are so cute ",1
cousin love ,1
baby boy you stay on my mind damn co za trening n fitnessland warszawa …,-1
come to essex for some sledging fun ,1
my bestfriends always picked up from various postings and we still love each other,1
my girls leah’s pretty smile and gaby’s face,2
what better way to spend my day off with this bunch but proper getting ganged up on ,2
you are in your glory today smoothly slipping in and out of c more for gemini,2
what better way to spend my day off with this bunch but proper getting ganged up on,2
it was nearly pm and finally after a lot of waiting the fans were told we could enter the hall there was a mother and two…,1
ilobe bravegirls i love themilove mygirls so much ohmugod someoen pleathe call the ambulance ineed tocget my pulse checkedf,1
my greatest accomplishments beats …,2
since both gdrive and openload video has been taken down here is engsub moonlight paradise radio w gugudan,1
protect thalita and gabriela at all costs ,1
i love my kids ronald reagan washington…,1
my girls my loves …,1
dream peaceful,1
thank you for making so many mygirls and myboys around the world so happy we hope that we can do the…,2
this is the only photo i feel like is indicated to post in it s my first time participating a…,1
"i’m so happy san francisco was so sweet and amazing to me i end up meeting these two lovely ladies 
miss camille to…",3
who are your best girls tag your bridesmaids to tell them you love your tribe ,2
feeling cute w mygirls ,1
super proud of these girls for wanting to get in shape for soccer ,2
can’t describe how much i love this lot ,1
mygirls they r beautiful,1
i miss my girls i miss sitting with them driving with them talking to them but most of all i miss watching them,-3
never knew how much i would miss these tricks until they left pls come back,-1
has been on vacation for a week and i think the girls are starting to miss her apparently i m jus…,-1
these two girls are my whole world i am so blessed to be their auntie i love them with all that i am ,1
happy goldens today ,1
please follow a great medical marijuana clinic looking to make a real difference for patients …,1
i actually think i ve been poorly since october every time i get better one of my beloved kids kiss me and reinfect me…,1
this was my bday lol we had fun,1
these two make buying trips even better liz shopcanary ,1
i actually think i ve been poorly since october every time i get better one of my beloved kids kiss me and reinfec…,1
can’t believe it’s almost been a year since the soap awards already can’t wait for this years ,1
can’t believe it’s almost been a year since the soap awards already can’t wait for this years ,1
"thank you very much for this project thanks mygirls and myboys who participated in this project",1
wishing you all the most beautiful week,1
thank you very much for this opportunity and for providing this the mygirls amp myboys worldwide,1
you can accomplish more today than you ever thought possible more for gemini,1
todays was slightly which made it fun for dining let it go in the…,1
awww my keepz snap of vane down makesssss me soo happy i love my girls,1
it d be really nice if y all out there could respect what we mygirls for years now had tried to built up instead of just…,2
enjoy the greatest prime time show at the barclays center,2
my lovely ladies picked out and purchased their dresses today for the wedding they will be looking hawttttt,1
whys mygirls selca day so confusing everyone posts it on the th th th so i just go along with whenever others post theirs why,-1
it d be really nice if y all out there could respect what we mygirls for years now had tried to built up instead…,2
when petra is over quinn ignores me and rather play with her but i loveeee how much they love each other ,1
love you two sooooo much,1
they are the best,1
happy sunday ,1
thanks for having us you never fail to disappoint,-2
amazing weekend for lbennett the beautiful bride to be ,2
sunday road rage,-1
finally home from to be with life is good hours of travel is never fun …,2
don’t get much better than this,1
mygirls are also happy when we re with you rough trans i am always happy…,1
yay so beautiful,2
it would be better to tell the owner to take it down than reporting it to h and makes things harder for us interna…,1
i love seeing my girls surprise with how hard they can work the points may have not been in our favour but they wo…,2
super secret business ,1
wish i was there with my babies today i love you three more than you know cheering you on from home ,1
mygirls are also happy when we re with you hope you have a lovely day rough trans i am al…,1
"insoo instastory update though it was short mygirls were beautiful and you did well myname members he tagge…",2
love my ,1
